# x,y,vel_x,vel_y,speed
39.855912,63.843793,0.352706,1.968654,2.000000
77.461493,30.186422,-1.467922,-1.358383,2.000000
77.494343,30.117039,-1.965623,-0.369225,2.000000
39.832100,63.807693,-1.951914,-0.435928,2.000000
78.443952,73.353353,-1.922681,-0.550725,2.000000
28.068896,22.024643,1.983106,0.259406,2.000000
78.430257,73.381009,-1.977452,0.299473,2.000000
39.793783,63.826218,-1.010867,1.725731,2.000000
77.621249,30.136069,-1.952652,0.432610,2.000000
39.823097,63.794974,-1.407740,-1.420658,2.000000
39.935083,63.744441,1.607586,-1.189819,2.000000
39.742587,63.870889,-1.788071,0.895992,2.000000
39.833777,63.811549,-0.203340,1.989636,2.000000
27.874667,22.008389,-1.037019,1.710144,2.000000
39.763664,63.729002,-1.735500,-0.994002,2.000000
78.390956,73.366920,-1.750116,0.968035,2.000000
27.900671,21.975800,-0.994882,1.734996,2.000000
27.833222,21.926124,-1.715125,1.028759,2.000000
77.617013,30.218125,-0.197569,1.990218,2.000000
39.912660,63.832153,1.686825,1.074533,2.000000
39.956354,63.942097,1.102291,1.668818,2.000000
78.560653,73.297993,0.435194,-1.952077,2.000000
28.052815,21.931703,1.479840,1.345390,2.000000
27.802781,21.815669,-1.392914,-1.435197,2.000000
27.765369,21.865545,-1.866740,-0.717831,2.000000
78.624382,73.331923,1.398009,-1.430235,2.000000
77.655539,30.245052,0.551337,1.922505,2.000000
78.603145,73.175855,0.843833,-1.813269,2.000000
77.711059,30.276478,1.732899,0.998530,2.000000
77.729281,30.129741,1.908837,-0.596945,2.000000
78.543897,73.266426,0.162721,-1.993369,2.000000
39.746218,63.659468,-1.107989,-1.665041,2.000000
77.450200,30.053149,-1.768688,-0.933671,2.000000
77.605494,30.216801,-1.153868,-1.633582,2.000000
78.571966,73.414358,0.359382,1.967446,2.000000
78.568586,73.332133,0.817495,-1.825295,2.000000
27.876423,21.837491,-0.186221,-1.991312,2.000000
77.612039,30.033581,0.229209,-1.986822,2.000000
78.698535,73.381376,1.929034,-0.528041,2.000000
27.943829,21.907823,0.893624,-1.789256,2.000000
77.645614,30.127454,0.514298,-1.932743,2.000000
39.867505,63.824333,1.523438,1.295815,2.000000
78.684489,73.414019,1.800205,0.871357,2.000000
27.853182,21.871680,-0.885633,-1.793224,2.000000
39.785791,63.817283,-1.955289,0.420531,2.000000
39.754259,63.941432,-1.020501,1.720051,2.000000
28.067078,22.021931,1.263914,1.550007,2.000000
27.983332,21.996157,0.303805,1.976791,2.000000
28.050244,21.914162,1.748731,-0.970537,2.000000
27.971836,21.901666,1.157001,-1.631364,2.000000
39.919037,63.858246,1.549655,1.264346,2.000000
27.897565,21.947979,-1.182128,1.613250,2.000000
39.930247,63.679290,1.129324,-1.650645,2.000000
78.408625,73.364023,-1.625381,1.165392,2.000000
78.505294,73.324159,-1.503195,1.319244,2.000000
78.426881,73.433423,-1.139945,1.643328,2.000000
77.469314,30.125854,-1.998785,-0.069691,2.000000
78.593087,73.264567,0.906646,-1.782693,2.000000
77.628452,30.243193,-0.384564,1.962679,2.000000
27.883227,22.091429,-0.711739,1.869071,2.000000
78.512986,73.330778,-0.142681,-1.994904,2.000000
39.983376,63.888319,1.698526,1.055939,2.000000
27.946838,21.787645,0.178968,-1.991976,2.000000
27.781920,21.909685,-1.983015,-0.260097,2.000000
27.790391,21.935070,-1.898043,0.630421,2.000000
27.896690,21.889074,-1.993927,0.155741,2.000000
78.485458,73.284716,-0.728297,-1.862682,2.000000
39.812634,63.843902,-1.824142,0.820065,2.000000
27.782673,21.975594,-1.833172,0.799675,2.000000
39.693172,63.798563,-1.987013,-0.227547,2.000000
27.969903,21.915116,0.394169,1.960773,2.000000
39.689962,63.864277,-1.902354,0.617291,2.000000
39.980401,63.821242,1.963082,0.382503,2.000000
27.996080,21.958321,1.702768,-1.049086,2.000000
27.813669,21.873593,-1.513620,-1.307270,2.000000
39.900526,63.901264,0.848684,1.811004,2.000000
77.474171,30.089945,-1.419002,-1.409409,2.000000
39.923400,63.775186,1.806565,-0.858092,2.000000
77.454183,30.159149,-1.514393,-1.306374,2.000000
27.830521,21.884328,-1.996859,0.112038,2.000000
78.649228,73.429649,1.245548,1.564804,2.000000
28.096651,21.911232,1.936309,-0.500706,2.000000
39.837547,63.803821,1.986475,0.232197,2.000000
39.841787,63.954059,-0.043207,1.999533,2.000000
78.398795,73.324768,-1.859432,-0.736554,2.000000
39.941408,63.910886,1.313896,1.507872,2.000000
78.654168,73.380705,1.847232,0.766639,2.000000
39.707991,63.887172,-1.610308,1.186131,2.000000
28.103557,22.017758,1.832016,0.802319,2.000000
39.876419,63.625645,0.391343,-1.961339,2.000000
39.846784,63.758455,-1.032643,-1.712790,2.000000
77.632468,30.125334,0.740000,-1.858064,2.000000
27.892351,21.950162,-0.690024,-1.877197,2.000000
78.331182,73.333801,-1.995259,-0.137630,2.000000
39.817069,63.734681,-1.079809,-1.683453,2.000000
28.080423,22.016177,1.622977,1.168737,2.000000
27.953072,21.980959,1.919982,-0.560061,2.000000
78.524899,73.329702,1.919636,0.561246,2.000000
78.683183,73.359447,1.972373,0.331278,2.000000
78.459637,73.397417,-0.852525,1.809199,2.000000
78.464005,73.233810,-0.931467,-1.769850,2.000000
39.870548,63.775228,1.231719,-1.575712,2.000000
40.010590,63.795348,1.998581,-0.075323,2.000000
28.071321,21.917963,1.811456,-0.847719,2.000000
39.866275,63.682078,0.541240,-1.925372,2.000000
28.001226,21.982547,0.704230,1.871913,2.000000
78.487128,73.370574,-1.895232,-0.638822,2.000000
77.752162,30.179541,1.872511,0.702639,2.000000
78.570615,73.181171,0.495490,-1.937651,2.000000
39.758585,63.716400,-1.415990,-1.412435,2.000000
28.011630,21.883272,1.279327,-1.537310,2.000000
27.840538,21.904747,-1.274801,-1.541066,2.000000
39.783362,63.728251,-1.317909,-1.504366,2.000000
28.035591,21.968025,1.852678,-0.753381,2.000000
77.616263,30.302148,-0.071820,1.998710,2.000000
27.813344,21.839312,-1.283604,-1.533740,2.000000
78.569014,73.419595,-1.726943,-1.008796,2.000000
27.856677,21.904068,-1.831694,0.803054,2.000000
27.935902,22.126108,-0.068375,1.998831,2.000000
27.803767,21.886170,-1.812483,-0.845522,2.000000
28.084059,21.974103,1.993510,0.160994,2.000000
78.489831,73.375658,-1.167793,-1.623656,2.000000
77.652113,30.191884,0.343958,1.970201,2.000000
39.870379,63.777750,1.954584,-0.423793,2.000000
78.653592,73.352726,1.504209,1.318088,2.000000
77.695318,30.194490,1.296186,1.523122,2.000000
28.089394,21.926320,1.613544,1.181726,2.000000
78.589842,73.361672,1.213304,-1.589935,2.000000
77.501984,30.068358,-1.621892,-1.170242,2.000000
78.398195,73.397041,-1.919168,0.562843,2.000000
39.832837,63.738121,0.706545,-1.871041,2.000000
77.519939,30.108923,-0.098457,-1.997575,2.000000
28.068994,21.966234,1.710830,1.035886,2.000000
78.474887,73.317324,-0.879471,-1.796255,2.000000
77.723945,30.299207,1.998941,-0.065089,2.000000
39.675825,63.716659,-1.717669,-1.024506,2.000000
78.557148,73.429906,0.262990,1.982634,2.000000
78.677049,73.317262,1.932227,-0.516234,2.000000
